Provincia,Casos Probables,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
Azua,0,0.0,0,dengue,1,2018
Baoruco,0,0.0,0,dengue,1,2018
Barahona,0,0.0,0,dengue,1,2018
Dajabón,0,0.0,0,dengue,1,2018
Distrito Nacional,0,0.0,0,dengue,1,2018
Duarte,0,0.0,0,dengue,1,2018
El Seibo,0,0.0,0,dengue,1,2018
Elías Piña,0,0.0,0,dengue,1,2018
Espaillat,0,0.0,0,dengue,1,2018
Extranjera,0,0.0,0,dengue,1,2018
Hato Mayor,0,0.0,0,dengue,1,2018
Hermanas Mirabal,0,0.0,0,dengue,1,2018
Independencia,0,0.0,0,dengue,1,2018
La Altagracia,1,15.7,0,dengue,1,2018
La Romana,0,0.0,0,dengue,1,2018
La Vega,0,0.0,0,dengue,1,2018
María Trinidad Sánchez,0,0.0,0,dengue,1,2018
Monseñor Nouel,0,0.0,0,dengue,1,2018
Monte Cristi,0,0.0,0,dengue,1,2018
Monte Plata,0,0.0,0,dengue,1,2018
Pedernales,0,0.0,0,dengue,1,2018
Peravia,0,0.0,0,dengue,1,2018
Puerto Plata,0,0.0,0,dengue,1,2018
Samaná,0,0.0,0,dengue,1,2018
San Cristóbal,0,0.0,0,dengue,1,2018
San José de Ocoa,0,0.0,0,dengue,1,2018
San Juan,0,0.0,0,dengue,1,2018
San Pedro de Macorís,1,17.3,0,dengue,1,2018
Santiago,1,5.1,0,dengue,1,2018
Santiago Rodríguez,0,0.0,0,dengue,1,2018
Santo Domingo,0,0.0,0,dengue,1,2018
Sánchez Ramírez,1,34.2,0,dengue,1,2018
Valverde,0,0.0,0,dengue,1,2018
Azua,0,0.0,0,dengue,2,2018
Baoruco,0,0.0,0,dengue,2,2018
Barahona,0,0.0,0,dengue,2,2018
Dajabón,0,0.0,0,dengue,2,2018
Distrito Nacional,1,2.5,0,dengue,2,2018
Duarte,0,0.0,0,dengue,2,2018
El Seibo,0,0.0,0,dengue,2,2018
Elías Piña,0,0.0,0,dengue,2,2018
Espaillat,0,0.0,0,dengue,2,2018
Extranjera,0,0.0,0,dengue,2,2018
Hato Mayor,0,0.0,0,dengue,2,2018
Hermanas Mirabal,1,28.2,0,dengue,2,2018
Independencia,0,0.0,0,dengue,2,2018
La Altagracia,0,7.9,0,dengue,2,2018
La Romana,0,0.0,0,dengue,2,2018
La Vega,0,0.0,0,dengue,2,2018
María Trinidad Sánchez,0,0.0,0,dengue,2,2018
Monseñor Nouel,0,0.0,0,dengue,2,2018
Monte Cristi,1,22.6,0,dengue,2,2018
Monte Plata,0,0.0,0,dengue,2,2018
Pedernales,0,0.0,0,dengue,2,2018
Peravia,0,0.0,0,dengue,2,2018
Puerto Plata,0,0.0,0,dengue,2,2018
Samaná,1,23.8,0,dengue,2,2018
San Cristóbal,1,4.2,0,dengue,2,2018
San José de Ocoa,0,0.0,0,dengue,2,2018
San Juan,2,23.1,0,dengue,2,2018
San Pedro de Macorís,0,8.6,0,dengue,2,2018
Santiago,0,2.5,0,dengue,2,2018
Santiago Rodríguez,0,0.0,0,dengue,2,2018
Santo Domingo,5,4.7,0,dengue,2,2018
Sánchez Ramírez,1,34.2,0,dengue,2,2018
Valverde,1,15.0,0,dengue,2,2018
Azua,0,0.0,0,dengue,3,2018
Baoruco,0,0.0,0,dengue,3,2018
Barahona,2,18.3,0,dengue,3,2018
Dajabón,0,0.0,0,dengue,3,2018
Distrito Nacional,1,3.4,0,dengue,3,2018
Duarte,0,0.0,0,dengue,3,2018
El Seibo,0,0.0,0,dengue,3,2018
Elías Piña,0,0.0,0,dengue,3,2018
Espaillat,1,7.3,0,dengue,3,2018
Extranjera,0,0.0,0,dengue,3,2018
Hato Mayor,0,0.0,0,dengue,3,2018
Hermanas Mirabal,0,18.8,0,dengue,3,2018
Independencia,0,0.0,0,dengue,3,2018
La Altagracia,1,10.5,0,dengue,3,2018
La Romana,0,0.0,0,dengue,3,2018
La Vega,0,8.5,0,dengue,3,2018
María Trinidad Sánchez,0,0.0,0,dengue,3,2018
Monseñor Nouel,2,20.2,0,dengue,3,2018
Monte Cristi,0,15.0,0,dengue,3,2018
Monte Plata,0,0.0,0,dengue,3,2018
Pedernales,0,0.0,0,dengue,3,2018
Peravia,0,0.0,0,dengue,3,2018
Puerto Plata,0,0.0,0,dengue,3,2018
Samaná,0,15.9,0,dengue,3,2018
San Cristóbal,0,2.8,0,dengue,3,2018
San José de Ocoa,1,30.9,0,dengue,3,2018
San Juan,0,15.4,0,dengue,3,2018
San Pedro de Macorís,0,5.8,0,dengue,3,2018
Santiago,4,10.2,0,dengue,3,2018
Santiago Rodríguez,0,0.0,0,dengue,3,2018
Santo Domingo,1,3.8,0,dengue,3,2018
Sánchez Ramírez,0,22.8,0,dengue,3,2018
Valverde,0,10.0,0,dengue,3,2018
Azua,0,0.0,0,dengue,4,2018
Baoruco,0,0.0,0,dengue,4,2018
Barahona,5,41.3,0,dengue,4,2018
Dajabón,0,0.0,0,dengue,4,2018
Distrito Nacional,3,6.4,0,dengue,4,2018
Duarte,1,8.8,0,dengue,4,2018
El Seibo,0,0.0,0,dengue,4,2018
Elías Piña,0,0.0,0,dengue,4,2018
Espaillat,0,16.4,0,dengue,4,2018
Extranjera,0,0.0,0,dengue,4,2018
Hato Mayor,0,0.0,0,dengue,4,2018
Hermanas Mirabal,0,14.1,0,dengue,4,2018
Independencia,0,0.0,0,dengue,4,2018
La Altagracia,0,7.9,0,dengue,4,2018
La Romana,0,0.0,0,dengue,4,2018
La Vega,0,0.0,0,dengue,4,2018
María Trinidad Sánchez,0,0.0,0,dengue,4,2018
Monseñor Nouel,2,30.3,0,dengue,4,2018
Monte Cristi,0,11.3,0,dengue,4,2018
Monte Plata,0,0.0,0,dengue,4,2018
Pedernales,0,0.0,0,dengue,4,2018
Peravia,0,0.0,0,dengue,4,2018
Puerto Plata,0,0.0,0,dengue,4,2018
Samaná,1,23.8,0,dengue,4,2018
San Cristóbal,1,4.2,0,dengue,4,2018
San José de Ocoa,0,23.2,0,dengue,4,2018
San Juan,1,17.3,0,dengue,4,2018
San Pedro de Macorís,0,4.3,0,dengue,4,2018
Santiago,4,15.3,0,dengue,4,2018
Santiago Rodríguez,0,0.0,0,dengue,4,2018
Santo Domingo,3,4.2,0,dengue,4,2018
Sánchez Ramírez,0,17.1,0,dengue,4,2018
Valverde,0,7.5,0,dengue,4,2018
Azua,0,0.0,0,dengue,5,2018
Baoruco,0,0.0,0,dengue,5,2018
Barahona,0,33.0,0,dengue,5,2018
Dajabón,0,0.0,0,dengue,5,2018
Distrito Nacional,1,6.1,0,dengue,5,2018
Duarte,0,7.0,0,dengue,5,2018
El Seibo,0,0.0,0,dengue,5,2018
Elías Piña,0,0.0,0,dengue,5,2018
Espaillat,0,13.1,0,dengue,5,2018
Extranjera,0,0.0,0,dengue,5,2018
Hato Mayor,0,0.0,0,dengue,5,2018
Hermanas Mirabal,0,22.5,0,dengue,5,2018
Independencia,0,0.0,0,dengue,5,2018
La Altagracia,0,6.3,0,dengue,5,2018
La Romana,0,0.0,0,dengue,5,2018
La Vega,1,5.1,0,dengue,5,2018
María Trinidad Sánchez,2,22.1,0,dengue,5,2018
Monseñor Nouel,0,24.2,0,dengue,5,2018
Monte Cristi,0,18.0,0,dengue,5,2018
Monte Plata,0,0.0,0,dengue,5,2018
Pedernales,0,0.0,0,dengue,5,2018
Peravia,0,0.0,0,dengue,5,2018
Puerto Plata,1,3.1,0,dengue,5,2018
Samaná,0,19.0,0,dengue,5,2018
San Cristóbal,0,5.0,0,dengue,5,2018
San José de Ocoa,0,18.6,0,dengue,5,2018
San Juan,0,13.8,0,dengue,5,2018
San Pedro de Macorís,0,6.9,0,dengue,5,2018
Santiago,1,13.2,0,dengue,5,2018
Santiago Rodríguez,0,0.0,0,dengue,5,2018
Santo Domingo,2,5.3,0,dengue,5,2018
Sánchez Ramírez,0,13.7,0,dengue,5,2018
Valverde,1,12.0,0,dengue,5,2018
Azua,1,3.9,0,dengue,6,2018
Baoruco,0,0.0,0,dengue,6,2018
Barahona,0,27.5,0,dengue,6,2018
Dajabón,0,13.2,0,dengue,6,2018
Distrito Nacional,1,5.9,0,dengue,6,2018
Duarte,0,5.8,0,dengue,6,2018
El Seibo,0,0.0,0,dengue,6,2018
Elías Piña,0,0.0,0,dengue,6,2018
Espaillat,2,21.9,0,dengue,6,2018
Extranjera,0,0.0,0,dengue,6,2018
Hato Mayor,1,10.1,0,dengue,6,2018
Hermanas Mirabal,1,28.2,0,dengue,6,2018
Independencia,0,0.0,0,dengue,6,2018
La Altagracia,1,7.9,0,dengue,6,2018
La Romana,0,0.0,0,dengue,6,2018
La Vega,1,6.4,0,dengue,6,2018
María Trinidad Sánchez,0,18.4,0,dengue,6,2018
Monseñor Nouel,0,20.2,0,dengue,6,2018
Monte Cristi,0,15.0,0,dengue,6,2018
Monte Plata,0,0.0,0,dengue,6,2018
Pedernales,0,0.0,0,dengue,6,2018
Peravia,0,0.0,0,dengue,6,2018
Puerto Plata,0,2.6,0,dengue,6,2018
Samaná,0,15.9,0,dengue,6,2018
San Cristóbal,0,4.2,0,dengue,6,2018
San José de Ocoa,0,15.5,0,dengue,6,2018
San Juan,0,11.5,0,dengue,6,2018
San Pedro de Macorís,0,5.8,0,dengue,6,2018
Santiago,9,19.5,0,dengue,6,2018
Santiago Rodríguez,0,0.0,0,dengue,6,2018
Santo Domingo,1,4.7,0,dengue,6,2018
Sánchez Ramírez,1,17.1,0,dengue,6,2018
Valverde,0,10.0,0,dengue,6,2018
Azua,0,3.4,0,dengue,7,2018
Baoruco,0,0.0,0,dengue,7,2018
Barahona,0,23.6,0,dengue,7,2018
Dajabón,0,11.3,0,dengue,7,2018
Distrito Nacional,0,5.1,0,dengue,7,2018
Duarte,1,17.5,0,dengue,7,2018
El Seibo,0,0.0,0,dengue,7,2018
Elías Piña,0,0.0,0,dengue,7,2018
Espaillat,0,18.7,0,dengue,7,2018
Extranjera,0,0.0,0,dengue,7,2018
Hato Mayor,0,8.7,0,dengue,7,2018
Hermanas Mirabal,0,24.1,0,dengue,7,2018
Independencia,0,0.0,0,dengue,7,2018
La Altagracia,0,4.5,0,dengue,7,2018
La Romana,1,2.8,0,dengue,7,2018
La Vega,1,7.3,0,dengue,7,2018
María Trinidad Sánchez,0,15.8,0,dengue,7,2018
Monseñor Nouel,0,17.3,0,dengue,7,2018
Monte Cristi,0,12.9,0,dengue,7,2018
Monte Plata,2,11.8,0,dengue,7,2018
Pedernales,0,0.0,0,dengue,7,2018
Peravia,0,0.0,0,dengue,7,2018
Puerto Plata,1,4.5,0,dengue,7,2018
Samaná,0,13.6,0,dengue,7,2018
San Cristóbal,0,3.6,0,dengue,7,2018
San José de Ocoa,0,13.3,0,dengue,7,2018
San Juan,0,9.9,0,dengue,7,2018
San Pedro de Macorís,3,14.8,0,dengue,7,2018
Santiago,4,19.6,0,dengue,7,2018
Santiago Rodríguez,0,0.0,0,dengue,7,2018
Santo Domingo,6,5.9,0,dengue,7,2018
Sánchez Ramírez,0,14.7,0,dengue,7,2018
Valverde,3,21.5,0,dengue,7,2018
Azua,0,2.9,0,dengue,8,2018
Baoruco,0,0.0,0,dengue,8,2018
Barahona,0,20.6,0,dengue,8,2018
Dajabón,0,9.9,0,dengue,8,2018
Distrito Nacional,1,5.1,0,dengue,8,2018
Duarte,1,17.5,0,dengue,8,2018
El Seibo,0,0.0,0,dengue,8,2018
Elías Piña,0,0.0,0,dengue,8,2018
Espaillat,2,21.9,0,dengue,8,2018
Extranjera,0,0.0,0,dengue,8,2018
Hato Mayor,0,7.6,0,dengue,8,2018
Hermanas Mirabal,3,42.2,0,dengue,8,2018
Independencia,0,0.0,0,dengue,8,2018
La Altagracia,0,3.9,0,dengue,8,2018
La Romana,0,2.5,0,dengue,8,2018
La Vega,2,9.6,0,dengue,8,2018
María Trinidad Sánchez,0,13.8,0,dengue,8,2018
Monseñor Nouel,2,22.7,0,dengue,8,2018
Monte Cristi,0,11.3,0,dengue,8,2018
Monte Plata,0,10.3,0,dengue,8,2018
Pedernales,0,0.0,0,dengue,8,2018
Peravia,0,0.0,0,dengue,8,2018
Puerto Plata,0,3.9,0,dengue,8,2018
Samaná,0,11.9,0,dengue,8,2018
San Cristóbal,0,3.2,0,dengue,8,2018
San José de Ocoa,0,11.6,0,dengue,8,2018
San Juan,0,8.7,0,dengue,8,2018
San Pedro de Macorís,0,15.1,0,dengue,8,2018
Santiago,5,20.3,0,dengue,8,2018
Santiago Rodríguez,0,0.0,0,dengue,8,2018
Santo Domingo,3,6.1,0,dengue,8,2018
Sánchez Ramírez,0,12.8,0,dengue,8,2018
Valverde,1,22.5,0,dengue,8,2018
Azua,0,2.6,0,dengue,9,2018
Baoruco,0,0.0,0,dengue,9,2018
Barahona,2,24.5,0,dengue,9,2018
Dajabón,0,8.8,0,dengue,9,2018
Distrito Nacional,0,4.5,0,dengue,9,2018
Duarte,1,17.5,0,dengue,9,2018
El Seibo,0,0.0,0,dengue,9,2018
Elías Piña,0,0.0,0,dengue,9,2018
Espaillat,2,24.3,0,dengue,9,2018
Extranjera,0,0.0,0,dengue,9,2018
Hato Mayor,0,6.7,0,dengue,9,2018
Hermanas Mirabal,0,37.6,0,dengue,9,2018
Independencia,0,0.0,0,dengue,9,2018
La Altagracia,0,5.2,0,dengue,9,2018
La Romana,1,4.4,0,dengue,9,2018
La Vega,0,8.5,0,dengue,9,2018
María Trinidad Sánchez,0,12.3,0,dengue,9,2018
Monseñor Nouel,0,20.2,0,dengue,9,2018
Monte Cristi,2,20.0,0,dengue,9,2018
Monte Plata,1,12.2,0,dengue,9,2018
Pedernales,0,0.0,0,dengue,9,2018
Peravia,0,0.0,0,dengue,9,2018
Puerto Plata,0,3.5,0,dengue,9,2018
Samaná,0,5.3,0,dengue,9,2018
San Cristóbal,0,2.8,0,dengue,9,2018
San José de Ocoa,0,10.3,0,dengue,9,2018
San Juan,0,7.7,0,dengue,9,2018
