Provincia,Casos Sospechosos,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
Azua,0,0.0,0,leptospirosis,1,2018
Baoruco,0,0.0,0,leptospirosis,1,2018
Barahona,0,0.0,0,leptospirosis,1,2018
Dajabón,0,0.0,0,leptospirosis,1,2018
Distrito Nacional,0,0.0,0,leptospirosis,1,2018
Duarte,1,17.5,0,leptospirosis,1,2018
El Seibo,1,56.6,0,leptospirosis,1,2018
Elías Piña,0,0.0,0,leptospirosis,1,2018
Espaillat,0,0.0,0,leptospirosis,1,2018
Extranjera,0,0.0,0,leptospirosis,1,2018
Hato Mayor,0,0.0,0,leptospirosis,1,2018
Hermanas Mirabal,0,0.0,0,leptospirosis,1,2018
Independencia,0,0.0,0,leptospirosis,1,2018
La Altagracia,0,0.0,0,leptospirosis,1,2018
La Romana,0,0.0,0,leptospirosis,1,2018
La Vega,2,25.6,0,leptospirosis,1,2018
María Trinidad Sánchez,0,0.0,0,leptospirosis,1,2018
Monseñor Nouel,0,0.0,0,leptospirosis,1,2018
Monte Cristi,1,45.1,0,leptospirosis,1,2018
Monte Plata,0,0.0,0,leptospirosis,1,2018
Pedernales,0,0.0,0,leptospirosis,1,2018
Peravia,0,0.0,0,leptospirosis,1,2018
Puerto Plata,0,0.0,0,leptospirosis,1,2018
Samaná,0,0.0,0,leptospirosis,1,2018
San Cristóbal,0,0.0,0,leptospirosis,1,2018
San José de Ocoa,0,0.0,0,leptospirosis,1,2018
San Juan,2,46.2,0,leptospirosis,1,2018
San Pedro de Macorís,1,17.3,0,leptospirosis,1,2018
Santiago,1,5.1,0,leptospirosis,1,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,1,2018
Santo Domingo,0,0.0,0,leptospirosis,1,2018
Sánchez Ramírez,0,0.0,0,leptospirosis,1,2018
Valverde,1,30.1,0,leptospirosis,1,2018
Azua,0,0.0,0,leptospirosis,2,2018
Baoruco,1,26.0,0,leptospirosis,2,2018
Barahona,0,0.0,0,leptospirosis,2,2018
Dajabón,0,0.0,0,leptospirosis,2,2018
Distrito Nacional,1,2.5,0,leptospirosis,2,2018
Duarte,1,26.3,0,leptospirosis,2,2018
El Seibo,0,28.3,0,leptospirosis,2,2018
Elías Piña,0,0.0,0,leptospirosis,2,2018
Espaillat,0,0.0,0,leptospirosis,2,2018
Extranjera,0,0.0,0,leptospirosis,2,2018
Hato Mayor,0,0.0,0,leptospirosis,2,2018
Hermanas Mirabal,1,28.2,0,leptospirosis,2,2018
Independencia,0,0.0,0,leptospirosis,2,2018
La Altagracia,0,0.0,0,leptospirosis,2,2018
La Romana,0,0.0,0,leptospirosis,2,2018
La Vega,0,19.2,0,leptospirosis,2,2018
María Trinidad Sánchez,1,18.4,0,leptospirosis,2,2018
Monseñor Nouel,0,0.0,0,leptospirosis,2,2018
Monte Cristi,1,45.1,0,leptospirosis,2,2018
Monte Plata,0,0.0,0,leptospirosis,2,2018
Pedernales,0,0.0,0,leptospirosis,2,2018
Peravia,0,0.0,0,leptospirosis,2,2018
Puerto Plata,0,0.0,0,leptospirosis,2,2018
Samaná,0,0.0,0,leptospirosis,2,2018
San Cristóbal,0,0.0,0,leptospirosis,2,2018
San José de Ocoa,0,0.0,0,leptospirosis,2,2018
San Juan,0,23.1,0,leptospirosis,2,2018
San Pedro de Macorís,0,8.6,0,leptospirosis,2,2018
Santiago,2,10.2,0,leptospirosis,2,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,2,2018
Santo Domingo,0,0.0,0,leptospirosis,2,2018
Sánchez Ramírez,0,0.0,0,leptospirosis,2,2018
Valverde,3,60.1,0,leptospirosis,2,2018
Azua,0,0.0,0,leptospirosis,3,2018
Baoruco,0,17.3,0,leptospirosis,3,2018
Barahona,1,9.2,0,leptospirosis,3,2018
Dajabón,0,0.0,0,leptospirosis,3,2018
Distrito Nacional,0,1.7,0,leptospirosis,3,2018
Duarte,1,23.4,0,leptospirosis,3,2018
El Seibo,0,18.9,0,leptospirosis,3,2018
Elías Piña,0,0.0,0,leptospirosis,3,2018
Espaillat,0,0.0,0,leptospirosis,3,2018
Extranjera,0,0.0,0,leptospirosis,3,2018
Hato Mayor,0,0.0,0,leptospirosis,3,2018
Hermanas Mirabal,0,18.8,0,leptospirosis,3,2018
Independencia,0,0.0,0,leptospirosis,3,2018
La Altagracia,0,0.0,0,leptospirosis,3,2018
La Romana,0,0.0,0,leptospirosis,3,2018
La Vega,1,17.0,0,leptospirosis,3,2018
María Trinidad Sánchez,0,12.3,0,leptospirosis,3,2018
Monseñor Nouel,1,10.1,0,leptospirosis,3,2018
Monte Cristi,0,30.1,0,leptospirosis,3,2018
Monte Plata,0,0.0,0,leptospirosis,3,2018
Pedernales,0,0.0,0,leptospirosis,3,2018
Peravia,0,0.0,0,leptospirosis,3,2018
Puerto Plata,0,0.0,0,leptospirosis,3,2018
Samaná,0,0.0,0,leptospirosis,3,2018
San Cristóbal,0,0.0,0,leptospirosis,3,2018
San José de Ocoa,1,30.9,0,leptospirosis,3,2018
San Juan,1,23.1,0,leptospirosis,3,2018
San Pedro de Macorís,0,5.8,0,leptospirosis,3,2018
Santiago,3,11.9,0,leptospirosis,3,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,3,2018
Santo Domingo,0,0.0,0,leptospirosis,3,2018
Sánchez Ramírez,0,0.0,0,leptospirosis,3,2018
Valverde,1,50.1,1,leptospirosis,3,2018
Azua,0,0.0,0,leptospirosis,4,2018
Baoruco,0,13.0,0,leptospirosis,4,2018
Barahona,0,6.9,0,leptospirosis,4,2018
Dajabón,0,0.0,0,leptospirosis,4,2018
Distrito Nacional,1,2.5,0,leptospirosis,4,2018
Duarte,0,21.9,0,leptospirosis,4,2018
El Seibo,0,14.2,0,leptospirosis,4,2018
Elías Piña,0,0.0,0,leptospirosis,4,2018
Espaillat,0,0.0,0,leptospirosis,4,2018
Extranjera,0,0.0,0,leptospirosis,4,2018
Hato Mayor,0,0.0,0,leptospirosis,4,2018
Hermanas Mirabal,0,14.1,0,leptospirosis,4,2018
Independencia,0,0.0,0,leptospirosis,4,2018
La Altagracia,0,0.0,0,leptospirosis,4,2018
La Romana,0,0.0,0,leptospirosis,4,2018
La Vega,1,19.2,0,leptospirosis,4,2018
María Trinidad Sánchez,0,9.2,0,leptospirosis,4,2018
Monseñor Nouel,0,7.6,0,leptospirosis,4,2018
Monte Cristi,0,22.6,0,leptospirosis,4,2018
Monte Plata,0,0.0,0,leptospirosis,4,2018
Pedernales,0,0.0,0,leptospirosis,4,2018
Peravia,0,0.0,0,leptospirosis,4,2018
Puerto Plata,0,0.0,0,leptospirosis,4,2018
Samaná,0,0.0,0,leptospirosis,4,2018
San Cristóbal,0,0.0,0,leptospirosis,4,2018
San José de Ocoa,1,46.4,0,leptospirosis,4,2018
San Juan,0,17.3,0,leptospirosis,4,2018
San Pedro de Macorís,1,8.6,0,leptospirosis,4,2018
Santiago,0,8.9,0,leptospirosis,4,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,4,2018
Santo Domingo,2,0.9,0,leptospirosis,4,2018
Sánchez Ramírez,0,0.0,0,leptospirosis,4,2018
Valverde,0,37.6,0,leptospirosis,4,2018
Azua,0,0.0,0,leptospirosis,5,2018
