fecha,provincia,casos_confirmados,incidencia,defun_nuevas,numero,year
2018-1,Azua,0,0,0,1,2018
2018-1,Baoruco,0,0,0,1,2018
2018-1,Barahona,0,0,0,1,2018
2018-1,Dajabón,0,0,0,1,2018
2018-1,Distrito Nacional,0,0,0,1,2018
2018-1,Duarte,0,0,0,1,2018
2018-1,El Seibo,0,0,0,1,2018
2018-1,Elías Piña,0,0,0,1,2018
2018-1,Espaillat,0,0,0,1,2018
2018-1,Extranjera,0,0,0,1,2018
2018-1,Hato Mayor,0,0,0,1,2018
2018-1,Hermanas Mirabal,0,0,0,1,2018
2018-1,Independencia,0,0,0,1,2018
2018-1,La Altagracia,0,0,0,1,2018
2018-1,La Romana,0,0,0,1,2018
2018-1,La Vega,0,0,0,1,2018
2018-1,María Trinidad Sánchez,0,0,0,1,2018
2018-1,Monseñor Nouel,0,0,0,1,2018
2018-1,Monte Cristi,0,0,0,1,2018
2018-1,Monte Plata,0,0,0,1,2018
2018-1,Pedernales,0,0,0,1,2018
2018-1,Peravia,0,0,0,1,2018
2018-1,Puerto Plata,0,0,0,1,2018
2018-1,Samaná,0,0,0,1,2018
2018-1,San Cristóbal,0,0,0,1,2018
2018-1,San José de Ocoa,0,0,0,1,2018
2018-1,San Juan,0,0,0,1,2018
2018-1,San Pedro de Macorís,0,0,0,1,2018
2018-1,Santiago,0,0,0,1,2018
2018-1,Santiago Rodríguez,0,0,0,1,2018
2018-1,Santo Domingo,6,11.33,0,1,2018
2018-1,Sánchez Ramírez,0,0,0,1,2018
2018-1,Valverde,0,0,0,1,2018
2018-2,Azua,0,0,0,2,2018
2018-2,Baoruco,0,0,0,2,2018
2018-2,Barahona,0,0,0,2,2018
2018-2,Dajabón,0,0,0,2,2018
2018-2,Distrito Nacional,0,0,0,2,2018
2018-2,Duarte,0,0,0,2,2018
2018-2,El Seibo,0,0,0,2,2018
2018-2,Elías Piña,0,0,0,2,2018
2018-2,Espaillat,0,0,0,2,2018
2018-2,Extranjera,0,0,0,2,2018
2018-2,Hato Mayor,0,0,0,2,2018
2018-2,Hermanas Mirabal,0,0,0,2,2018
2018-2,Independencia,0,0,0,2,2018
2018-2,La Altagracia,0,0,0,2,2018
2018-2,La Romana,0,0,0,2,2018
2018-2,La Vega,0,0,0,2,2018
2018-2,María Trinidad Sánchez,0,0,0,2,2018
2018-2,Monseñor Nouel,0,0,0,2,2018
2018-2,Monte Cristi,0,0,0,2,2018
2018-2,Monte Plata,0,0,0,2,2018
2018-2,Pedernales,0,0,0,2,2018
2018-2,Peravia,0,0,0,2,2018
2018-2,Puerto Plata,0,0,0,2,2018
2018-2,Samaná,0,0,0,2,2018
2018-2,San Cristóbal,0,0,0,2,2018
2018-2,San José de Ocoa,0,0,0,2,2018
2018-2,San Juan,0,0,0,2,2018
2018-2,San Pedro de Macorís,0,0,0,2,2018
2018-2,Santiago,0,0,0,2,2018
2018-2,Santiago Rodríguez,0,0,0,2,2018
2018-2,Santo Domingo,1,6.61,0,2,2018
2018-2,Sánchez Ramírez,0,0,0,2,2018
2018-2,Valverde,0,0,0,2,2018
2018-3,Azua,0,0,0,3,2018
2018-3,Baoruco,0,0,0,3,2018
2018-3,Barahona,0,0,0,3,2018
2018-3,Dajabón,0,0,0,3,2018
2018-3,Distrito Nacional,0,0,0,3,2018
2018-3,Duarte,0,0,0,3,2018
2018-3,El Seibo,0,0,0,3,2018
2018-3,Elías Piña,0,0,0,3,2018
2018-3,Espaillat,0,0,0,3,2018
2018-3,Extranjera,2,0,0,3,2018
2018-3,Hato Mayor,0,0,0,3,2018
2018-3,Hermanas Mirabal,0,0,0,3,2018
2018-3,Independencia,0,0,0,3,2018
2018-3,La Altagracia,1,5.25,0,3,2018
2018-3,La Romana,0,0,0,3,2018
2018-3,La Vega,0,0,0,3,2018
2018-3,María Trinidad Sánchez,0,0,0,3,2018
2018-3,Monseñor Nouel,0,0,0,3,2018
2018-3,Monte Cristi,0,0,0,3,2018
2018-3,Monte Plata,0,0,0,3,2018
2018-3,Pedernales,0,0,0,3,2018
2018-3,Peravia,0,0,0,3,2018
2018-3,Puerto Plata,0,0,0,3,2018
2018-3,Samaná,0,0,0,3,2018
2018-3,San Cristóbal,0,0,0,3,2018
2018-3,San José de Ocoa,0,0,0,3,2018
2018-3,San Juan,0,0,0,3,2018
2018-3,San Pedro de Macorís,0,0,0,3,2018
2018-3,Santiago,0,0,0,3,2018
2018-3,Santiago Rodríguez,0,0,0,3,2018
2018-3,Santo Domingo,2,5.67,0,3,2018
2018-3,Sánchez Ramírez,0,0,0,3,2018
