Provincia,Muertes Maternas,Muertes Infantiles,Condicion,Numero,Year
Azua,0,1,maternainfantil,1,2018
Baoruco,0,1,maternainfantil,1,2018
Barahona,0,3,maternainfantil,1,2018
Dajabón,0,0,maternainfantil,1,2018
Distrito Nacional,0,2,maternainfantil,1,2018
Duarte,0,1,maternainfantil,1,2018
El Seibo,0,0,maternainfantil,1,2018
Elías Piña,0,1,maternainfantil,1,2018
Espaillat,0,1,maternainfantil,1,2018
Extranjera,0,0,maternainfantil,1,2018
Hato Mayor,0,2,maternainfantil,1,2018
Hermanas Mirabal,0,0,maternainfantil,1,2018
Independencia,0,0,maternainfantil,1,2018
La Altagracia,0,1,maternainfantil,1,2018
La Romana,0,0,maternainfantil,1,2018
La Vega,1,1,maternainfantil,1,2018
María Trinidad Sánchez,0,0,maternainfantil,1,2018
Monseñor Nouel,0,0,maternainfantil,1,2018
Monte Cristi,0,1,maternainfantil,1,2018
Monte Plata,0,1,maternainfantil,1,2018
Pedernales,0,1,maternainfantil,1,2018
Peravia,0,0,maternainfantil,1,2018
Puerto Plata,0,0,maternainfantil,1,2018
Samaná,0,0,maternainfantil,1,2018
San Cristóbal,0,2,maternainfantil,1,2018
San José de Ocoa,0,1,maternainfantil,1,2018
San Juan,0,0,maternainfantil,1,2018
San Pedro de Macorís,2,0,maternainfantil,1,2018
Santiago,0,7,maternainfantil,1,2018
Santiago Rodríguez,0,1,maternainfantil,1,2018
Santo Domingo,1,10,maternainfantil,1,2018
Sánchez Ramírez,0,2,maternainfantil,1,2018
Valverde,0,0,maternainfantil,1,2018
Azua,0,1,maternainfantil,2,2018
Baoruco,0,0,maternainfantil,2,2018
Barahona,0,1,maternainfantil,2,2018
Dajabón,0,0,maternainfantil,2,2018
Distrito Nacional,0,2,maternainfantil,2,2018
Duarte,1,0,maternainfantil,2,2018
El Seibo,0,0,maternainfantil,2,2018
Elías Piña,0,0,maternainfantil,2,2018
Espaillat,0,2,maternainfantil,2,2018
Extranjera,0,0,maternainfantil,2,2018
Hato Mayor,0,0,maternainfantil,2,2018
Hermanas Mirabal,0,1,maternainfantil,2,2018
Independencia,0,0,maternainfantil,2,2018
La Altagracia,1,0,maternainfantil,2,2018
La Romana,0,0,maternainfantil,2,2018
La Vega,0,1,maternainfantil,2,2018
María Trinidad Sánchez,0,0,maternainfantil,2,2018
Monseñor Nouel,0,0,maternainfantil,2,2018
Monte Cristi,0,2,maternainfantil,2,2018
Monte Plata,0,0,maternainfantil,2,2018
Pedernales,0,1,maternainfantil,2,2018
Peravia,0,1,maternainfantil,2,2018
Puerto Plata,0,1,maternainfantil,2,2018
Samaná,0,0,maternainfantil,2,2018
San Cristóbal,0,4,maternainfantil,2,2018
San José de Ocoa,0,0,maternainfantil,2,2018
San Juan,0,0,maternainfantil,2,2018
San Pedro de Macorís,0,0,maternainfantil,2,2018
Santiago,0,7,maternainfantil,2,2018
Santiago Rodríguez,0,0,maternainfantil,2,2018
Santo Domingo,1,23,maternainfantil,2,2018
Sánchez Ramírez,0,4,maternainfantil,2,2018
Valverde,0,2,maternainfantil,2,2018
Azua,0,0,maternainfantil,3,2018
Baoruco,0,0,maternainfantil,3,2018
Barahona,0,4,maternainfantil,3,2018
Dajabón,0,0,maternainfantil,3,2018
Distrito Nacional,0,0,maternainfantil,3,2018
Duarte,0,1,maternainfantil,3,2018
El Seibo,0,1,maternainfantil,3,2018
Elías Piña,0,0,maternainfantil,3,2018
Espaillat,0,5,maternainfantil,3,2018
Extranjera,1,0,maternainfantil,3,2018
Hato Mayor,0,1,maternainfantil,3,2018
Hermanas Mirabal,0,0,maternainfantil,3,2018
Independencia,0,0,maternainfantil,3,2018
La Altagracia,0,0,maternainfantil,3,2018
La Romana,0,0,maternainfantil,3,2018
La Vega,0,2,maternainfantil,3,2018
María Trinidad Sánchez,0,0,maternainfantil,3,2018
Monseñor Nouel,0,1,maternainfantil,3,2018
Monte Cristi,0,1,maternainfantil,3,2018
Monte Plata,1,0,maternainfantil,3,2018
Pedernales,0,0,maternainfantil,3,2018
Peravia,0,0,maternainfantil,3,2018
Puerto Plata,0,1,maternainfantil,3,2018
Samaná,0,0,maternainfantil,3,2018
San Cristóbal,1,4,maternainfantil,3,2018
San José de Ocoa,0,0,maternainfantil,3,2018
San Juan,1,1,maternainfantil,3,2018
San Pedro de Macorís,0,1,maternainfantil,3,2018
Santiago,0,3,maternainfantil,3,2018
Santiago Rodríguez,0,0,maternainfantil,3,2018
Santo Domingo,0,20,maternainfantil,3,2018
Sánchez Ramírez,0,0,maternainfantil,3,2018
Valverde,0,0,maternainfantil,3,2018
Azua,0,1,maternainfantil,4,2018
Baoruco,0,1,maternainfantil,4,2018
Barahona,0,0,maternainfantil,4,2018
Dajabón,1,1,maternainfantil,4,2018
Distrito Nacional,1,2,maternainfantil,4,2018
Duarte,0,0,maternainfantil,4,2018
El Seibo,0,0,maternainfantil,4,2018
Elías Piña,0,1,maternainfantil,4,2018
Espaillat,0,2,maternainfantil,4,2018
Extranjera,0,0,maternainfantil,4,2018
Hato Mayor,0,0,maternainfantil,4,2018
Hermanas Mirabal,0,0,maternainfantil,4,2018
Independencia,0,0,maternainfantil,4,2018
La Altagracia,0,1,maternainfantil,4,2018
La Romana,0,0,maternainfantil,4,2018
La Vega,0,0,maternainfantil,4,2018
María Trinidad Sánchez,0,0,maternainfantil,4,2018
Monseñor Nouel,1,1,maternainfantil,4,2018
Monte Cristi,0,0,maternainfantil,4,2018
Monte Plata,0,1,maternainfantil,4,2018
Pedernales,0,0,maternainfantil,4,2018
Peravia,0,0,maternainfantil,4,2018
Puerto Plata,0,0,maternainfantil,4,2018
Samaná,0,1,maternainfantil,4,2018
San Cristóbal,0,0,maternainfantil,4,2018
San José de Ocoa,0,0,maternainfantil,4,2018
San Juan,0,1,maternainfantil,4,2018
San Pedro de Macorís,0,1,maternainfantil,4,2018
Santiago,0,6,maternainfantil,4,2018
Santiago Rodríguez,0,0,maternainfantil,4,2018
Santo Domingo,0,11,maternainfantil,4,2018
Sánchez Ramírez,0,0,maternainfantil,4,2018
Valverde,0,1,maternainfantil,4,2018
Azua,0,1,maternainfantil,5,2018
Baoruco,0,1,maternainfantil,5,2018
Barahona,0,1,maternainfantil,5,2018
Dajabón,0,1,maternainfantil,5,2018
Distrito Nacional,0,5,maternainfantil,5,2018
Duarte,1,0,maternainfantil,5,2018
El Seibo,0,0,maternainfantil,5,2018
Elías Piña,0,1,maternainfantil,5,2018
Espaillat,1,0,maternainfantil,5,2018
Extranjera,1,0,maternainfantil,5,2018
Hato Mayor,0,1,maternainfantil,5,2018
